diseases,medicine_1,medicine_2,medicine_3,side_effects
panic disorder,sertraline,paroxetine,alprazolam,"nausea, insomnia, diarrhea, dry mouth, sexual dysfunction, nausea, drowsiness, weight gain, sweating, sexual dysfunction, drowsiness, dizziness, dependence, memory problems, fatigue"
vocal cord polyp,corticosteroids (inhaled),omeprazole (for reflux),,"oral thrush, hoarseness, adrenal suppression, headache, diarrhea, nausea, abdominal pain"
turner syndrome,estrogen replacement therapy,growth hormone,,"nausea, breast tenderness, bloating, blood clots risk, joint pain, fluid retention, headache, insulin resistance"
cryptorchidism,human chorionic gonadotropin (hCG),leuprolide,,"headache, fatigue, mood swings, injection site pain, hot flashes, decreased libido, osteoporosis, injection site pain"
poisoning due to ethylene glycol,fomepizole,ethanol,,"nausea, headache, dizziness, injection site pain, sedation, nausea, respiratory depression"
atrophic vaginitis,topical estrogen (estradiol cream),ospemifene,,"breast tenderness, vaginal discharge, headache, hot flashes, vaginal discharge, muscle spasm"
fracture of the hand,ibuprofen,acetaminophen,calcium supplements,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, constipation, bloating, kidney stones, hypercalcemia"
cellulitis or abscess of mouth,amoxicillin-clavulanate,clindamycin,metronidazole,"diarrhea, nausea, rash, yeast infection, diarrhea, C. diff colitis, nausea, rash, metallic taste, nausea, headache, dizziness"
eye alignment disorder,botulinum toxin,atropine drops,,"injection site pain, weakness, flu-like symptoms, ptosis, blurred vision, dry mouth, photophobia, tachycardia"
headache after lumbar puncture,caffeine,ibuprofen,acetaminophen,"insomnia, anxiety, palpitations, increased blood pressure, stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash"
pyloric stenosis,atropine,IV fluids (pre-surgical),,"dry mouth, tachycardia, urinary retention, blurred vision, fluid overload, electrolyte imbalance, phlebitis"
salivary gland disorder,pilocarpine,cevimeline,amoxicillin (if infected),"sweating, nausea, flushing, urinary frequency, sweating, nausea, diarrhea, excessive salivation, diarrhea, nausea, rash, allergic reaction"
osteochondrosis,ibuprofen,naproxen,bisphosphonates,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, esophageal irritation, jaw necrosis, atypical fractures, bone pain"
injury to the knee,ibuprofen,naproxen,acetaminophen,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, liver damage (overdose), nausea, rash"
metabolic disorder,metformin,enzyme replacement therapy (varies by type),,"nausea, diarrhea, lactic acidosis (rare), vitamin B12 deficiency, generally well tolerated, minimal systemic side effects"
vaginitis,metronidazole,clindamycin,fluconazole,"metallic taste, nausea, headache, dizziness, diarrhea, C. diff colitis, nausea, rash, nausea, headache, liver toxicity, QT prolongation"
sick sinus syndrome,atropine,isoproterenol,,"dry mouth, tachycardia, urinary retention, blurred vision, tachycardia, arrhythmia, angina, tremor"
tinnitus of unknown cause,alprazolam,nortriptyline,melatonin,"drowsiness, dizziness, dependence, memory problems, fatigue, dry mouth, constipation, urinary retention, sedation, drowsiness, headache, dizziness, nausea"
glaucoma,timolol,latanoprost,dorzolamide,"bradycardia, bronchospasm, fatigue, depression, iris color change, eyelash growth, eye irritation, stinging, bitter taste, corneal edema"
eating disorder,fluoxetine,olanzapine,lisdexamfetamine (binge eating),"insomnia, nausea, anxiety, sexual dysfunction, headache, weight gain, sedation, metabolic syndrome, hyperglycemia, consult prescriber for side effects"
transient ischemic attack,aspirin,clopidogrel,atorvastatin,"GI bleeding, stomach upset, tinnitus, bruising, bleeding, bruising, GI upset, rash, muscle pain, liver enzyme elevation, headache, nausea"
pyelonephritis,ciprofloxacin,trimethoprim-sulfamethoxazole,ceftriaxone,"tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity, rash, Stevens-Johnson risk, kidney toxicity, hyperkalemia, diarrhea, rash, injection site pain, C. diff risk"
rotator cuff injury,ibuprofen,naproxen,corticosteroid injection,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, local atrophy, pain flare, infection risk, skin depigmentation"
chronic pain disorder,gabapentin,duloxetine,tramadol,"drowsiness, dizziness, weight gain, edema, ataxia, nausea, dry mouth, insomnia, dizziness, sweating, nausea, dizziness, constipation, seizure risk, dependence"
problem during pregnancy,progesterone,magnesium sulfate,labetalol,"drowsiness, dizziness, breast tenderness, bloating, flushing, nausea, respiratory depression, loss of reflexes, fatigue, dizziness, bradycardia, hypotension"
liver cancer,sorafenib,lenvatinib,atezolizumab,"hand-foot syndrome, hypertension, diarrhea, rash, fatigue, hypertension, diarrhea, fatigue, liver toxicity, consult prescriber for side effects"
atelectasis,albuterol,acetylcysteine,,"tremor, tachycardia, headache, hypokalemia, nausea, vomiting, flushing, anaphylactoid reaction"
injury to the hand,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
choledocholithiasis,ursodeoxycholic acid,antibiotics (if infected),,"diarrhea, nausea, hepatic decompensation (cirrhosis), consult prescriber for side effects"
injury to the hip,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
cirrhosis,furosemide,spironolactone,propranolol,"electrolyte imbalance, dehydration, low potassium, dizziness, hyperkalemia, breast tenderness, dizziness, menstrual irregularity, fatigue, bradycardia, cold extremities, bronchospasm"
thoracic aortic aneurysm,metoprolol,losartan,,"fatigue, bradycardia, dizziness, cold extremities, hyperkalemia, dizziness, hypotension, kidney function changes"
subdural hemorrhage,mannitol,dexamethasone,tranexamic acid,"electrolyte imbalance, fluid shifts, renal failure (high doses), hyperglycemia, insomnia, weight gain, immunosuppression, nausea, diarrhea, headache, thrombosis risk"
diabetic retinopathy,ranibizumab,bevacizumab,laser photocoagulation,"consult prescriber for side effects, consult prescriber for side effects, consult prescriber for side effects"
fibromyalgia,duloxetine,pregabalin,milnacipran,"nausea, dry mouth, insomnia, dizziness, sweating, drowsiness, dizziness, weight gain, blurred vision, nausea, headache, hypertension, sweating"
ischemia of the bowel,heparin,papaverine,broad-spectrum antibiotics,"bleeding, HIT, injection site reactions, osteoporosis, flushing, nausea, hypotension, liver toxicity, consult prescriber for side effects"
fetal alcohol syndrome,methylphenidate (for ADHD symptoms),supportive care,,"insomnia, decreased appetite, tachycardia, anxiety, no significant side effects"
peritonitis,cefoxitin,metronidazole,piperacillin-tazobactam,"diarrhea, rash, C. diff risk, injection site reactions, metallic taste, nausea, headache, dizziness, diarrhea, rash, liver enzyme elevation, C. diff risk"
injury to the abdomen,morphine,ibuprofen,IV fluids,"constipation, nausea, sedation, respiratory depression, dependence, stomach pain, nausea, GI bleeding, kidney issues, hypertension, fluid overload, electrolyte imbalance, phlebitis"
acute pancreatitis,IV fluids,meperidine,morphine (pain control),"fluid overload, electrolyte imbalance, phlebitis, nausea, constipation, sedation, seizure risk, dependence, constipation, nausea, sedation, respiratory depression, dependence"
thrombophlebitis,heparin,warfarin,enoxaparin,"bleeding, HIT, injection site reactions, osteoporosis, bleeding, bruising, hair loss, skin necrosis, bleeding, injection site bruising, HIT (rare), thrombocytopenia"
asthma,albuterol,fluticasone,montelukast,"tremor, tachycardia, headache, hypokalemia, oral thrush, hoarseness, adrenal suppression, neuropsychiatric effects, headache, abdominal pain"
foreign body in the vagina,removal procedure,antibiotics if infected,,"post-operative pain, infection risk, bleeding, anesthesia risks, consult prescriber for side effects"
restless leg syndrome,pramipexole,ropinirole,gabapentin,"nausea, drowsiness, hallucinations, impulse control disorders, nausea, drowsiness, hallucinations, impulse control disorders, drowsiness, dizziness, weight gain, edema, ataxia"
emphysema,tiotropium,salmeterol,N-acetylcysteine,"dry mouth, urinary retention, constipation, blurred vision, tremor, tachycardia, headache, hypokalemia, nausea, vomiting, flushing, anaphylactoid reaction"
cysticercosis,albendazole,praziquantel,dexamethasone,"nausea, liver toxicity, bone marrow suppression, abdominal pain, nausea, dizziness, headache, hyperglycemia, insomnia, weight gain, immunosuppression"
induced abortion,mifepristone,misoprostol,,"cramping, nausea, bleeding, infection risk, diarrhea, cramping, nausea, shivering"
teething syndrome,acetaminophen,ibuprofen,benzocaine gel,"liver damage (overdose), nausea, rash, stomach pain, nausea, GI bleeding, kidney issues, hypertension, methemoglobinemia risk, allergic reaction, local numbness"
infectious gastroenteritis,oral rehydration salts,loperamide,azithromycin,"nausea, vomiting (rare), generally well tolerated, constipation, abdominal cramping, dizziness, nausea, diarrhea, abdominal pain, QT prolongation"
acute sinusitis,amoxicillin,amoxicillin-clavulanate,nasal corticosteroids,"diarrhea, nausea, rash, allergic reaction, diarrhea, nausea, rash, yeast infection, hyperglycemia, weight gain, osteoporosis, immunosuppression"
substance-related mental disorder,naltrexone,buprenorphine,methadone,"nausea, abdominal pain, hepatotoxicity, insomnia, nausea, constipation, headache, sweating, dependence, constipation, sweating, QT prolongation, sedation, dependence"
postpartum depression,sertraline,paroxetine,escitalopram,"nausea, insomnia, diarrhea, dry mouth, sexual dysfunction, nausea, drowsiness, weight gain, sweating, sexual dysfunction, nausea, insomnia, sexual dysfunction, headache"
coronary atherosclerosis,atorvastatin,aspirin,clopidogrel,"muscle pain, liver enzyme elevation, headache, nausea, GI bleeding, stomach upset, tinnitus, bruising, bleeding, bruising, GI upset, rash"
spondylitis,naproxen,indomethacin,adalimumab,"GI upset, stomach ulcers, kidney effects, hypertension, GI bleeding, kidney toxicity, headache, dizziness, injection site reactions, infection risk, TB reactivation, lymphoma risk"
pituitary adenoma,bromocriptine,cabergoline,octreotide,"nausea, orthostatic hypotension, headache, hallucinations, nausea, dizziness, headache, cardiac valve fibrosis, GI upset, gallstones, bradycardia, hyperglycemia"
uterine fibroids,leuprolide,ulipristal acetate,tranexamic acid,"hot flashes, decreased libido, osteoporosis, injection site pain, headache, nausea, abdominal pain, dysmenorrhea, nausea, diarrhea, headache, thrombosis risk"
idiopathic nonmenstrual bleeding,tranexamic acid,NSAIDs,hormonal therapy,"nausea, diarrhea, headache, thrombosis risk, consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
chalazion,warm compresses,triamcinolone injection,,"consult prescriber for side effects, skin atrophy, hypopigmentation, adrenal suppression"
ovarian torsion,opioids (pain management),surgical intervention,,"generally well tolerated, minimal systemic side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
retinopathy due to high blood pressure,amlodipine,lisinopril,antihypertensives,"edema, flushing, headache, dizziness, cough, hyperkalemia, hypotension, angioedema, consult prescriber for side effects"
vaginal yeast infection,fluconazole,clotrimazole,miconazole,"nausea, headache, liver toxicity, QT prolongation, skin irritation, burning, rash (topical), skin irritation, burning, itching (topical)"
mastoiditis,amoxicillin-clavulanate,ceftriaxone,ciprofloxacin,"diarrhea, nausea, rash, yeast infection, diarrhea, rash, injection site pain, C. diff risk, tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity"
lung contusion,morphine,ibuprofen,oxygen therapy,"constipation, nausea, sedation, respiratory depression, dependence, stomach pain, nausea, GI bleeding, kidney issues, hypertension, oxygen toxicity (high concentration), dry mucous membranes"
hypertrophic obstructive cardiomyopathy (hocm),metoprolol,verapamil,disopyramide,"fatigue, bradycardia, dizziness, cold extremities, constipation, bradycardia, hypotension, edema, anticholinergic effects, proarrhythmia, heart failure worsening"
ingrown toe nail,ibuprofen,antibiotics (if infected),,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, consult prescriber for side effects"
pulmonary eosinophilia,prednisone,mepolizumab,,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, consult prescriber for side effects"
corneal disorder,lubricating eye drops,antibiotic eye drops,corticosteroid drops,"consult prescriber for side effects, consult prescriber for side effects, consult prescriber for side effects"
foreign body in the gastrointestinal tract,removal procedure,supportive care,,"post-operative pain, infection risk, bleeding, anesthesia risks, no significant side effects"
endophthalmitis,vancomycin (intravitreal),ceftazidime,voriconazole,"red man syndrome, kidney toxicity, ototoxicity, phlebitis, consult prescriber for side effects, visual disturbances, liver toxicity, photosensitivity, hallucinations"
intestinal malabsorption,enzyme supplements,vitamin D,calcium supplements,"generally well tolerated, minimal systemic side effects, hypercalcemia (overdose), nausea, constipation, constipation, bloating, kidney stones, hypercalcemia"
viral warts,salicylic acid,imiquimod,podophyllin,"consult prescriber for side effects, skin reactions, erythema, erosion, flu-like symptoms, local irritation, systemic toxicity (if absorbed), nausea"
hyperhidrosis,aluminum chloride,glycopyrrolate,oxybutynin,"skin irritation, stinging, contact dermatitis, dry mouth, urinary retention, constipation, blurred vision, dry mouth, constipation, blurred vision, urinary retention"
stroke,alteplase (tPA),aspirin,clopidogrel,"bleeding, intracranial hemorrhage, allergic reactions, GI bleeding, stomach upset, tinnitus, bruising, bleeding, bruising, GI upset, rash"
pilonidal cyst,metronidazole,clindamycin (if infected),,"metallic taste, nausea, headache, dizziness, diarrhea, C. diff colitis, nausea, rash"
crushing injury,morphine,IV fluids,sodium bicarbonate,"constipation, nausea, sedation, respiratory depression, dependence, fluid overload, electrolyte imbalance, phlebitis, alkalosis, fluid overload, hypokalemia"
normal pressure hydrocephalus,carbonic anhydrase inhibitors,shunt therapy,,"consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
alopecia,minoxidil,finasteride,corticosteroids,"hair growth (topical), fluid retention, tachycardia (oral), sexual dysfunction, decreased libido, breast tenderness, hyperglycemia, weight gain, osteoporosis, immunosuppression"
hashimoto thyroiditis,levothyroxine,,,"palpitations, insomnia, weight loss, anxiety (if overdosed)"
flat feet,ibuprofen,orthotics (supportive),,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, generally well tolerated, minimal systemic side effects"
nonalcoholic liver disease (nash),vitamin E,pioglitazone,liraglutide,"nausea, diarrhea, bleeding risk (high doses), fluid retention, weight gain, fracture risk, bladder cancer risk, nausea, diarrhea, vomiting, pancreatitis risk"
hemarthrosis,factor VIII or IX replacement,tranexamic acid,,"consult prescriber for side effects, nausea, diarrhea, headache, thrombosis risk"
pelvic organ prolapse,estrogen cream,pessary devices,,"breast tenderness, vaginal discharge, headache, nausea, consult prescriber for side effects"
fracture of the arm,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
coagulation (bleeding) disorder,factor replacement,tranexamic acid,vitamin K,"consult prescriber for side effects, nausea, diarrhea, headache, thrombosis risk, consult prescriber for side effects"
intracranial hemorrhage,mannitol,nimodipine,vitamin K,"electrolyte imbalance, fluid shifts, renal failure (high doses), hypotension, headache, flushing, nausea, consult prescriber for side effects"
hyperkalemia,calcium gluconate,sodium bicarbonate,kayexalate,"bradycardia, hypercalcemia, constipation, alkalosis, fluid overload, hypokalemia, GI obstruction, nausea, hypokalemia, sodium retention"
cornea infection,ciprofloxacin eye drops,tobramycin,natamycin (antifungal),"tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity, nephrotoxicity, ototoxicity, injection site reactions, eye irritation, blurred vision, stinging"
abscess of the lung,amoxicillin-clavulanate,clindamycin,metronidazole,"diarrhea, nausea, rash, yeast infection, diarrhea, C. diff colitis, nausea, rash, metallic taste, nausea, headache, dizziness"
dengue fever,acetaminophen,IV fluids (no NSAIDs),,"liver damage (overdose), nausea, rash, fluid overload, electrolyte imbalance, phlebitis"
chronic sinusitis,fluticasone nasal spray,amoxicillin,saline irrigation,"oral thrush, hoarseness, adrenal suppression, diarrhea, nausea, rash, allergic reaction, mild nasal irritation, sneezing, generally well tolerated"
cholesteatoma,ciprofloxacin drops (antibiotics),surgical removal,,"tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity, post-operative pain, infection risk, bleeding, anesthesia risks"
volvulus,IV fluids,surgical intervention,,"fluid overload, electrolyte imbalance, phlebitis, post-operative pain, infection risk, bleeding, anesthesia risks"
injury to the finger,ibuprofen,acetaminophen,splinting,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, generally well tolerated, minimal systemic side effects"
poisoning due to analgesics,N-acetylcysteine,naloxone,,"nausea, vomiting, flushing, anaphylactoid reaction, opioid withdrawal symptoms, agitation, tachycardia"
atrial fibrillation,warfarin,apixaban,metoprolol,"bleeding, bruising, hair loss, skin necrosis, bleeding, nausea, anemia, fatigue, bradycardia, dizziness, cold extremities"
pinworm infection,mebendazole,albendazole,pyrantel pamoate,"nausea, abdominal pain, diarrhea, nausea, liver toxicity, bone marrow suppression, nausea, abdominal cramps, diarrhea, headache"
urethral valves,tamsulosin,surgical intervention,,"retrograde ejaculation, dizziness, orthostatic hypotension, post-operative pain, infection risk, bleeding, anesthesia risks"
open wound of the neck,cephalexin,amoxicillin-clavulanate,wound care,"diarrhea, nausea, rash, C. diff risk, diarrhea, nausea, rash, yeast infection, generally well tolerated, minimal systemic side effects"
achalasia,nifedipine,botulinum toxin,,"flushing, edema, headache, reflex tachycardia, injection site pain, weakness, flu-like symptoms, ptosis"
conductive hearing loss,amoxicillin (if otitis media),hearing aids,,"diarrhea, nausea, rash, allergic reaction, generally well tolerated, minimal systemic side effects"
abdominal hernia,pain management,surgical repair,,"generally well tolerated, minimal systemic side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
cerebral palsy,baclofen,diazepam,botulinum toxin,"drowsiness, dizziness, weakness, fatigue, drowsiness, dizziness, dependence, memory issues, injection site pain, weakness, flu-like symptoms, ptosis"
marijuana abuse,naltrexone,N-acetylcysteine,counseling,"nausea, abdominal pain, hepatotoxicity, insomnia, nausea, vomiting, flushing, anaphylactoid reaction, generally well tolerated, minimal systemic side effects"
cryptococcosis,amphotericin B,fluconazole,,"nephrotoxicity, infusion reactions, electrolyte imbalance, fever, nausea, headache, liver toxicity, QT prolongation"
obesity,orlistat,liraglutide,phentermine-topiramate,"steatorrhea, oily spotting, fecal urgency, fat-soluble vitamin loss, nausea, diarrhea, vomiting, pancreatitis risk, insomnia, dry mouth, kidney stones, cognitive impairment"
indigestion,omeprazole,antacids,ranitidine,"headache, diarrhea, nausea, abdominal pain, low magnesium, consult prescriber for side effects, headache, dizziness, constipation, diarrhea"
bursitis,ibuprofen,naproxen,corticosteroid injection,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, local atrophy, pain flare, infection risk, skin depigmentation"
esophageal cancer,cisplatin,fluorouracil,paclitaxel,"nephrotoxicity, nausea, ototoxicity, neuropathy, mucositis, diarrhea, hand-foot syndrome, bone marrow suppression, neuropathy, alopecia, bone marrow suppression, hypersensitivity"
pulmonary congestion,furosemide,morphine,nitroglycerin,"electrolyte imbalance, dehydration, low potassium, dizziness, constipation, nausea, sedation, respiratory depression, dependence, headache, hypotension, flushing, dizziness"
juvenile rheumatoid arthritis,naproxen,methotrexate,etanercept,"GI upset, stomach ulcers, kidney effects, hypertension, nausea, liver toxicity, mouth sores, bone marrow suppression, injection site reactions, infection risk, TB reactivation"
actinic keratosis,fluorouracil cream,imiquimod,diclofenac gel,"mucositis, diarrhea, hand-foot syndrome, bone marrow suppression, skin reactions, erythema, erosion, flu-like symptoms, GI upset, liver toxicity, cardiovascular risk, kidney effects"
acute otitis media,amoxicillin,amoxicillin-clavulanate,,"diarrhea, nausea, rash, allergic reaction, diarrhea, nausea, rash, yeast infection"
astigmatism,corrective lenses,no medication required,,"generally well tolerated, minimal systemic side effects, not applicable"
tuberous sclerosis,everolimus,vigabatrin (for seizures),,"consult prescriber for side effects, visual field defects (permanent), drowsiness, weight gain"
empyema,ceftriaxone,metronidazole,chest drainage,"diarrhea, rash, injection site pain, C. diff risk, metallic taste, nausea, headache, dizziness, generally well tolerated, minimal systemic side effects"
presbyacusis,no medications,hearing aids,,"not applicable, generally well tolerated, minimal systemic side effects"
neonatal jaundice,phototherapy,IV immunoglobulin (if hemolytic),,"generally well tolerated, minimal systemic side effects, consult prescriber for side effects"
chronic obstructive pulmonary disease (copd),tiotropium,salmeterol,fluticasone,"dry mouth, urinary retention, constipation, blurred vision, tremor, tachycardia, headache, hypokalemia, oral thrush, hoarseness, adrenal suppression"
dislocation of the elbow,ibuprofen,acetaminophen,reduction procedure,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, post-operative pain, infection risk, bleeding, anesthesia risks"
spondylosis,ibuprofen,naproxen,duloxetine,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, nausea, dry mouth, insomnia, dizziness, sweating"
herpangina,acetaminophen,ibuprofen (supportive),,"liver damage (overdose), nausea, rash, stomach pain, nausea, GI bleeding, kidney issues, hypertension"
injury to the shoulder,ibuprofen,acetaminophen,corticosteroid injection,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, local atrophy, pain flare, infection risk, skin depigmentation"
poisoning due to antidepressants,sodium bicarbonate,activated charcoal,,"alkalosis, fluid overload, hypokalemia, constipation, aspiration risk, black stools"
infection of open wound,cephalexin,amoxicillin-clavulanate,clindamycin,"diarrhea, nausea, rash, C. diff risk, diarrhea, nausea, rash, yeast infection, diarrhea, C. diff colitis, nausea, rash"
